file_name,plan_level_1_id,plan_level_2_id,plan_level_3_id,plan_level_4_id,plan_level_5_id,p6
final_cleaned_3_Katherine.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,58081GA0010075
final_cleaned_7_Jessica.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,
final_cleaned_9_Robert.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,
final_cleaned_10_Valerie.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_16_Debra.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_17_Catherine.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_18_Heather.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_19_Ruth.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,58081GA0010075
final_cleaned_30_Melissa.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_31_Steven.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_40_Christopher.csv,58081GA0010080,,58081GA0010030,,70893GA0060014,
final_cleaned_51_John.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,
final_cleaned_52_Emily.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,58081GA0010075
final_cleaned_53_Mark.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,58081GA0010075
final_cleaned_55_David.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,
final_cleaned_56_Laura.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,
final_cleaned_57_Alex.csv,58081GA0010080,58081GA0010075,58081GA0010030,49046GA0700006,70893GA0060014,
